"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,43,3,3,100009,0.008,46.4922314048406,0.078085116380008,2.07944154167984,"interior",2118.86674384132,-14.7434080893945,1,1,0.5,FALSE,0.504654440861284,0.00930888177522593,TRUE,36,0.122999999999998,"472, 498"
0.001,43,3,3,100009,0.01,51.6653133823365,0.183586519614603,2.30258509299405,"interior",2111.51214598013,-22.0980059505882,1,1,0.5,FALSE,0.505003791722519,0.0100075834589194,TRUE,35,0.120000000000005,"472, 498"
0.001,43,3,3,100009,0.015,66.3214608670793,0.433313422440321,2.70805020110221,"interior",2094.63390247769,-38.9762494530282,1,1,0.5,FALSE,0.509688330850652,0.0193766617023456,TRUE,63,0.211999999999996,"472, 498"
0.001,43,3,3,100009,0.02,79.4576323789392,0.614023837860084,2.99573227355399,"interior",2080.05137745504,-53.558774475679,1,1,0.5,FALSE,0.513394898032012,0.0267897960641982,TRUE,45,0.149000000000001,"472, 498"
0.001,43,3,3,100009,0.025,91.6555960844383,0.756837916023672,3.2188758248682,"interior",2067.342708987,-66.2674429437102,1,1,0.5,FALSE,0.516284000186691,0.0325680003734236,TRUE,38,0.128999999999998,"472, 498"
0.001,43,3,3,100009,0.03,103.037243712644,0.873890396621514,3.40119738166216,"interior",2056.08887253173,-77.5212793989804,1,1,0.5,FALSE,0.518467174718014,0.036934349436042,TRUE,34,0.113999999999997,"472, 498"
0.001,43,3,4,100010,1e-05,2,-3.06805293513362,-4.60517018598809,"lower",1567.83989437278,-569.626365381428,0,0,0,FALSE,0.0277444223464534,0.0260435099906035,TRUE,123,0.448,"110, 251"
0.001,43,3,4,100010,1e-04,2,-3.06805293513362,-2.30258509299405,"lower",1931.48446528135,-205.981794472859,0,0,0,FALSE,0.0277971682928012,0.0260823295631413,TRUE,110,0.395000000000003,"110, 251"
0.001,43,3,4,100010,0.001,12.4380329291489,-1.24044116555204,0,"interior",2097.97142554555,-39.4948342086641,1,1,0.5,FALSE,0.275458859213333,0.0126561926799688,TRUE,128,0.442,"110, 251"
0.001,43,3,4,100010,0.003,23.2641486041634,-0.614286626632309,1.09861228866811,"interior",2130.30180643516,-7.16445331905197,1,1,0.5,FALSE,0.319021922098351,0.00841295668675002,TRUE,78,0.269999999999996,"110, 251"
0.001,43,3,4,100010,0.005,31.0769590226333,-0.324733438525725,1.6094379124341,"interior",2136.61943694041,-0.846822813801737,1,1,0.5,FALSE,0.337181053038291,0.00853401492599504,TRUE,75,0.259,"110, 251"
0.001,43,3,4,100010,0.008,41.110633025388,-0.0449333165713148,2.07944154167984,"interior",2137.46625975421,0,1,1,0.5,FALSE,0.355998501337254,0.00940714997205105,TRUE,62,0.216000000000001,"110, 251"
0.001,43,3,4,100010,0.01,47.4069778353483,0.0975693138890965,2.30258509299405,"interior",2136.09299088846,-1.37326886575693,1,1,0.5,FALSE,0.366507126222762,0.0111275785535214,TRUE,38,0.131,"110, 251"
0.001,43,3,4,100010,0.015,67.9565049193178,0.457667751290294,2.70805020110221,"interior",2130.51576312863,-6.95049662558495,1,1,0.5,FALSE,0.409281409555449,0.0452288877904059,TRUE,70,0.241999999999997,"110, 251"
0.001,43,3,4,100010,0.02,99.9927207695843,0.843897275340884,2.99573227355399,"interior",2124.61925353496,-12.8470062192546,1,1,0.5,FALSE,0.69128452745171,0.556342594726753,TRUE,98,0.329000000000001,"110, 251"
0.001,43,3,4,100010,0.025,122.388237047221,1.04599814721113,3.2188758248682,"interior",2118.35966702064,-19.1065927335744,1,1,0.5,FALSE,0.804629117542358,0.746240798307325,TRUE,56,0.186,"110, 251"
0.001,43,3,4,100010,0.03,160.363793256589,1.31624482643174,3.40119738166216,"interior",2112.33847306816,-25.1277866860491,1,1,0.5,FALSE,0.836466231452638,0.776047194838931,TRUE,96,0.32,"110, 251"
0.001,43,3,5,100011,1e-05,2,-3.06805293513362,-4.60517018598809,"lower",1687.3353704667,-478.402494853852,0,0,0,FALSE,0.0348272418840898,0.0324196145305952,TRUE,112,0.403000000000006,"252, 404"
0.001,43,3,5,100011,1e-04,2,-3.06805293513362,-2.30258509299405,"lower",2012.02647367211,-153.711391648449,0,0,0,FALSE,0.0347332834092864,0.0323522016076287,TRUE,103,0.374000000000002,"252, 404"
