"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.01,447,3,5,100026,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28310.2121460753,NA,2,1,1,TRUE,0.639786469487994,0.397410537381595,TRUE,5,0.0190000000000055,"201, 385"
0.01,447,3,5,100026,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28306.0837461037,NA,2,1,1,TRUE,0.814956357152488,0.704489948968894,TRUE,5,0.0190000000000055,"201, 385"
0.01,972,3,1,100027,"joint_lambda_calibrated_eta0",0.01,860.886958672165,1323.18325547912,1.537,-0.121392599392899,0.30843986516356,0,"interior","upper",2413.71899033016,0,2,1,1,TRUE,0.615077827224366,0.230155801197598,TRUE,75,0.396000000000015,"88, 133"
0.01,972,3,1,100027,"joint_lambda_profiled_eta0",0.01,860.886958672165,860.886958672165,1,-0.121392599392899,-0.121392599392899,0,"interior","upper",2414.16830036231,0,2,1,1,TRUE,0.622437091457121,0.244874540553469,TRUE,74,0.309000000000026,"88, 133"
0.01,972,3,1,100027,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28293.97217902,NA,2,1,1,TRUE,0.65136026391271,0.302720544277737,TRUE,4,0.0180000000000291,"88, 133"
0.01,972,3,1,100027,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28292.0117175407,NA,2,1,1,TRUE,0.595772942917231,0.191545901376331,TRUE,4,0.0169999999999959,"88, 133"
0.01,972,3,2,100028,"joint_lambda_calibrated_eta0",0.01,1101.39595798117,1692.84558741706,1.537,0.124977902469408,0.554810367025866,0,"interior","upper",2439.52317950351,0,1,1,0.5,FALSE,0.507335032385761,0.0146700647742016,TRUE,28,0.16900000000004,"143, 494"
0.01,972,3,2,100028,"joint_lambda_profiled_eta0",0.01,1101.39595798117,1101.39595798117,1,0.124977902469408,0.124977902469408,0,"interior","upper",2439.7378574619,0,1,1,0.5,FALSE,0.506481481313521,0.0129629626330651,TRUE,31,0.136000000000024,"143, 494"
0.01,972,3,2,100028,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28305.2281402037,NA,1,1,0.5,FALSE,0.527607895461608,0.0552157909235483,TRUE,20,0.0550000000000068,"143, 494"
0.01,972,3,2,100028,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28305.5473462764,NA,1,1,0.5,FALSE,0.509093242819414,0.0181864856392168,TRUE,17,0.0469999999999686,"143, 494"
0.01,972,3,3,100029,"joint_lambda_calibrated_eta0",0.01,779.499718619094,1198.09106751755,1.537,-0.220703476938819,0.209128987617639,0,"interior","upper",2414.14586735621,0,2,1,1,TRUE,0.683664432665024,0.398991930571095,TRUE,69,0.368000000000052,"67, 239"
0.01,972,3,3,100029,"joint_lambda_profiled_eta0",0.01,779.499718619094,779.499718619094,1,-0.220703476938819,-0.220703476938819,0,"interior","upper",2414.58922304297,0,2,1,1,TRUE,0.672295178299039,0.386447875682968,TRUE,69,0.287000000000035,"67, 239"
0.01,972,3,3,100029,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28298.39813073,NA,2,1,1,TRUE,0.736921254398514,0.47577312888201,TRUE,5,0.0219999999999914,"67, 239"
0.01,972,3,3,100029,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28299.8963525264,NA,2,1,1,TRUE,0.704463126513167,0.423953218344347,TRUE,5,0.021000000000015,"67, 239"
0.01,972,3,4,100030,"joint_lambda_calibrated_eta0",0.01,1480.25296570416,2275.14880828729,1.537,0.42061247046517,0.850444935021629,0,"interior","upper",2436.48446409844,0,2,1,1,TRUE,0.279467780196787,0.0803713243681052,TRUE,76,0.438999999999965,"102, 347"
0.01,972,3,4,100030,"joint_lambda_profiled_eta0",0.01,1480.25296570416,1480.25296570416,1,0.42061247046517,0.42061247046517,0,"interior","upper",2436.68486691131,0,2,1,1,TRUE,0.282046086600891,0.0844829950036897,TRUE,76,0.319999999999993,"102, 347"
0.01,972,3,4,100030,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28291.7825011506,NA,2,1,1,TRUE,0.327819692927316,0.109389473423682,TRUE,4,0.0180000000000291,"102, 347"
0.01,972,3,4,100030,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28289.9277433644,NA,2,1,1,TRUE,0.26934935072311,0.065740854102701,TRUE,4,0.0179999999999723,"102, 347"
0.01,972,3,5,100031,"joint_lambda_calibrated_eta0",0.01,989.417758526857,1520.73509485578,1.537,0.0177608429560587,0.447593307512517,0,"interior","upper",2415.23207069376,0,2,1,1,TRUE,0.783413450192854,0.566826900562793,TRUE,21,0.15300000000002,"162, 275"
0.01,972,3,5,100031,"joint_lambda_profiled_eta0",0.01,989.417758526857,989.417758526857,1,0.0177608429560587,0.0177608429560587,0,"interior","upper",2415.66947050066,0,2,1,1,TRUE,0.778338332275356,0.556676665140597,TRUE,31,0.127999999999986,"162, 275"
0.01,972,3,5,100031,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28277.1954363182,NA,2,1,1,TRUE,0.75719529709777,0.514390594196813,TRUE,6,0.0240000000000009,"162, 275"
0.01,972,3,5,100031,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28279.8072128559,NA,2,1,1,TRUE,0.79434705723964,0.588694114486079,TRUE,16,0.0460000000000491,"162, 275"
0.01,2115,3,1,100032,"joint_lambda_calibrated_eta0",0.01,1871.88005184732,2877.07963968934,1.537,-0.122111511363605,0.307720953192853,0,"interior","upper",2443.08949530982,0,2,1,1,TRUE,0.979891961978978,0.976596897555739,TRUE,73,0.436999999999955,"163, 461"
0.01,2115,3,1,100032,"joint_lambda_profiled_eta0",0.01,1871.88005184732,1871.88005184732,1,-0.122111511363605,-0.122111511363605,0,"interior","upper",2443.20751900373,0,2,1,1,TRUE,0.976664467476487,0.97238705689951,TRUE,73,0.322999999999979,"163, 461"
0.01,2115,3,1,100032,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28296.0501328865,NA,2,1,1,TRUE,0.993866914117478,0.988739697129227,TRUE,4,0.0179999999999723,"163, 461"
0.01,2115,3,1,100032,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28299.6486959342,NA,2,1,1,TRUE,0.986469978358502,0.985425792433552,TRUE,4,0.0180000000000291,"163, 461"
0.01,2115,3,2,100033,"joint_lambda_calibrated_eta0",0.01,6478.0706802683,9956.79463557237,1.537,1.11936791900772,1.54920038356418,0,"interior","upper",2461.52108334789,0,2,1,1,TRUE,0.627592602769832,0.255193492869814,TRUE,53,0.608000000000004,"269, 446"
0.01,2115,3,2,100033,"joint_lambda_profiled_eta0",0.01,6478.0706802683,6478.0706802683,1,1.11936791900772,1.11936791900772,0,"interior","upper",2461.5351455567,0,2,1,1,TRUE,0.627391999016863,0.254793232486858,TRUE,54,0.516999999999996,"269, 446"
0.01,2115,3,2,100033,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28295.5529415558,NA,2,1,1,TRUE,0.624154721933026,0.248313204220653,TRUE,4,0.0169999999999959,"269, 446"
0.01,2115,3,2,100033,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28296.383693584,NA,2,1,1,TRUE,0.626170462767173,0.252346785037998,TRUE,4,0.0169999999999959,"269, 446"
0.01,2115,3,3,100034,"joint_lambda_calibrated_eta0",0.01,764.559139289039,1175.12739708725,1.537,-1.01751071228295,-0.587678247726492,0,"interior","upper",2418.98517939269,0,2,0.5,0.5,FALSE,0.513228304397981,0.0272607148608267,TRUE,65,0.367999999999995,"126, 313"
0.01,2115,3,3,100034,"joint_lambda_profiled_eta0",0.01,764.559139289039,764.559139289039,1,-1.01751071228295,-1.01751071228295,0,"interior","upper",2419.34980965608,0,2,0.5,0.5,FALSE,0.515223523741196,0.0316643841421916,TRUE,67,0.293000000000006,"126, 313"
0.01,2115,3,3,100034,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28310.8599076368,NA,2,0.5,0.5,FALSE,0.507060814386097,0.0142193403133937,TRUE,4,0.0169999999999959,"126, 313"
0.01,2115,3,3,100034,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28312.8698771545,NA,2,0.5,0.5,FALSE,0.507471175788281,0.0152436700430848,TRUE,4,0.0160000000000196,"126, 313"
0.01,2115,3,4,100035,"joint_lambda_calibrated_eta0",0.01,2209.79769815314,3396.45906206138,1.537,0.0438461595442234,0.473678624100683,0,"interior","upper",2444.86504715684,0,2,1,1,TRUE,0.87120276432228,0.781004389009993,TRUE,79,0.742000000000075,"256, 307"
0.01,2115,3,4,100035,"joint_lambda_profiled_eta0",0.01,2209.79769815314,2209.79769815314,1,0.0438461595442234,0.0438461595442234,0,"interior","upper",2444.97361052084,0,2,1,1,TRUE,0.865337491659289,0.773387390212602,TRUE,79,0.618000000000052,"256, 307"
