"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,447,5,1,100112,"calibrated_eta0",1e-04,40.7986691577365,62.707554495441,1.537,-2.39390913241838,-1.96407666786192,-2.30258509299405,"interior",2415.59128906902,-90.1541481874228,1,1,0.5,FALSE,0.504250570578269,0.00900876727863331,TRUE,70,0.429999999999836,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.001,209.31192272791,321.712425232798,1.537,-0.758733002006644,-0.328900537450186,0,"interior",2504.6393402359,-1.10609702054762,2,1,1,TRUE,0.76942146108444,0.53884292288161,TRUE,76,0.507999999999811,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.002,352.305849519864,541.494090712031,1.537,-0.238058905601028,0.19177355895543,0.693147180559945,"interior",2505.74543725645,0,2,1,1,TRUE,0.774186756345161,0.548373512715543,TRUE,76,0.458000000000084,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.004,745.942923275902,1146.51427307506,1.537,0.512090492309106,0.941922956865565,1.38629436111989,"interior",2496.88270262026,-8.86273463619091,2,1,1,TRUE,0.778576039896615,0.557152079794033,TRUE,75,0.444999999999936,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.006,1613.15208644343,2479.41475686355,1.537,1.28338676700446,1.71321923156092,1.79175946922805,"interior",2486.5924328972,-19.153004359247,2,1,1,TRUE,0.781140822045625,0.562281644091348,TRUE,48,0.354000000000042,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.008,6618.19513949171,10172.1659293988,1.537,2.6950193796061,3.12485184416256,2.07944154167984,"interior",2476.82541569717,-28.9200215592755,2,1,1,TRUE,0.783038717274844,0.566077434549707,TRUE,19,0.111000000000104,"230, 363"
0.001,447,5,1,100112,"calibrated_eta0",0.01,20000,20000,1.537,3.80092895792256,3.80092895792256,2.30258509299405,"upper",2467.5239209165,-38.2215163399455,2,1,1,TRUE,0.783359624927064,0.566719249854144,TRUE,18,0.122000000000071,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",1e-05,2,2,1,-5.40941141405362,-5.40941141405362,-4.60517018598809,"lower",2100.92247906219,-406.1374900106,0,0,0,FALSE,0.0175780095492449,0.0165076882607034,TRUE,192,0.986000000000104,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",1e-04,40.7986691577365,40.7986691577365,1,-2.39390913241838,-2.39390913241838,-2.30258509299405,"interior",2416.96480056382,-90.0951685089749,1,1,0.5,FALSE,0.502405788468842,0.00843688999089676,TRUE,73,0.350999999999885,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.001,209.31192272791,209.31192272791,1,-0.758733002006644,-0.758733002006644,0,"interior",2506.44178512048,-0.618183952311483,2,1,1,TRUE,0.762457043669416,0.524914105405798,TRUE,95,0.423000000000002,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.002,352.305849519864,352.305849519864,1,-0.238058905601028,-0.238058905601028,0.693147180559945,"interior",2507.05996907279,0,2,1,1,TRUE,0.770416838308024,0.54083367699604,TRUE,81,0.372000000000071,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.004,745.942923275902,745.942923275902,1,0.512090492309106,0.512090492309106,1.38629436111989,"interior",2497.47707488169,-9.58289419110451,2,1,1,TRUE,0.776332259072263,0.552664518149315,TRUE,76,0.361000000000104,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.006,1613.15208644343,1613.15208644343,1,1.28338676700446,1.28338676700446,1.79175946922805,"interior",2486.79028940265,-20.2696796701457,2,1,1,TRUE,0.77991500652627,0.559830013052816,TRUE,66,0.281999999999925,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.008,6618.19513949171,6618.19513949171,1,2.6950193796061,2.6950193796061,2.07944154167984,"interior",2476.84172354595,-30.2182455268444,2,1,1,TRUE,0.78268960070706,0.565379201414146,TRUE,11,0.0789999999999509,"230, 363"
0.001,447,5,1,100112,"profiled_eta0",0.01,20000,20000,1,3.80092895792256,3.80092895792256,2.30258509299405,"upper",2467.52416294931,-39.5358061234838,2,1,1,TRUE,0.783359236328677,0.566718472657369,TRUE,7,0.0869999999999891,"230, 363"
0.001,447,5,2,100113,"calibrated_eta0",1e-05,2,3.074,1.537,-5.40941141405362,-4.97957894949717,-4.60517018598809,"lower",2063.83605572771,-465.389095883315,0,0,0,FALSE,0.0128091038999454,0.0120069545268855,TRUE,15,0.963000000000193,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",1e-04,25.6727180965115,39.4589677143382,1.537,-2.85712971922342,-2.42729725466696,-2.30258509299405,"interior",2402.69581625022,-126.5293353608,1,1,0.5,FALSE,0.27613751884482,0.00904582631880668,TRUE,71,0.459999999999809,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.001,198.181403964469,304.604817893388,1.537,-0.813375801718532,-0.383543337162074,0,"interior",2523.31277352027,-5.91237809075528,2,1,1,TRUE,0.766689688574197,0.571204662729984,TRUE,73,0.44399999999996,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.002,375.162361910941,576.624550257117,1.537,-0.175199697249656,0.254632767306802,0.693147180559945,"interior",2529.22515161102,0,2,1,1,TRUE,0.796292060249916,0.612508566545453,TRUE,58,0.403999999999996,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.004,1103.58076974806,1696.20364310277,1.537,0.903756822557864,1.33358928711432,1.38629436111989,"interior",2522.2547783953,-6.97037321572634,2,1,1,TRUE,0.819666470739753,0.64763809949771,TRUE,14,0.0430000000001201,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.006,10137.8235222989,15581.8347537733,1.537,3.12147001672123,3.55130248127769,1.79175946922805,"interior",2511.97674389764,-17.2484077133831,2,1,1,TRUE,0.830189210850043,0.665305605542988,TRUE,10,0.170999999999822,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.008,20000,20000,1.537,3.80092895792256,3.80092895792256,2.07944154167984,"upper",2501.04995225349,-28.1751993575349,2,1,1,TRUE,0.83107112560458,0.666936232337153,TRUE,10,0.201999999999998,"31, 277"
0.001,447,5,2,100113,"calibrated_eta0",0.01,20000,20000,1.537,3.80092895792256,3.80092895792256,2.30258509299405,"upper",2489.82042560779,-39.404726003233,2,1,1,TRUE,0.831673406982278,0.668079710513862,TRUE,10,0.116999999999962,"31, 277"
0.001,447,5,2,100113,"profiled_eta0",1e-05,2,2,1,-5.40941141405362,-5.40941141405362,-4.60517018598809,"lower",2064.80552133801,-465.365274209207,0,0,0,FALSE,0.0192230787990878,0.0185106693129362,TRUE,181,0.945000000000164,"31, 277"
